"Step","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX"
"4876","","","","","","","61.439998626708984","61.439998626708984","61.439998626708984","56.75","56.75","56.75","","","","65.61000061035156","65.61000061035156","65.61000061035156","","","","","",""
"4877","","","","","","","","","","","","","","","","","","","65.44999694824219","65.44999694824219","65.44999694824219","66.16000366210938","66.16000366210938","66.16000366210938"
"4933","61.65999794006348","58.72999954223633","64.58999633789062","61.10499954223633","60.52000045776367","61.689998626708984","","","","","","","","","","","","","","","","","",""
"4934","62.900001525878906","62.900001525878906","62.900001525878906","","","","","","","","","","","","","","","","","","","","",""
"5007","","","","","","","","","","","","","57.16999816894531","57.16999816894531","57.16999816894531","","","","","","","","",""
"5065","63.670000076293945","59.20000076293945","68.13999938964844","62.5","62.06999969482422","62.93000030517578","","","","","","","","","","","","","","","","","",""
"5066","62.540000915527344","62.540000915527344","62.540000915527344","","","","","","","","","","","","","","","","","","","","",""
"5078","","","","","","","61.470001220703125","61.470001220703125","61.470001220703125","58.61000061035156","58.61000061035156","58.61000061035156","","","","64.04000091552734","64.04000091552734","64.04000091552734","","","","","",""
"5079","","","","","","","","","","","","","","","","","","","64.62999725341797","64.62999725341797","64.62999725341797","63.81999969482422","63.81999969482422","63.81999969482422"
"5209","","","","","","","","","","","","","59.619998931884766","59.619998931884766","59.619998931884766","","","","","","","","",""
