"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX"
"5999","7894.5","7894","7895","69.90416717529297","69.53666687011719","70.27166748046875","8130","8130","8130","69.73999786376953","69.73999786376953","69.73999786376953","8130","8130","8130","68.21666717529297","68.21666717529297","68.21666717529297","8130","8130","8130","68.97666931152344","68.97666931152344","68.97666931152344"
"6124","8026.5","8026","8027","69.3254165649414","68.774169921875","69.87666320800781","8267","8267","8267","69.48332977294922","69.48332977294922","69.48332977294922","8267","8267","8267","68.26667022705078","68.26667022705078","68.26667022705078","8267","8267","8267","68.9183349609375","68.9183349609375","68.9183349609375"
"6249","8223.5","8223","8224","69.83291625976562","69.46666717529297","70.19916534423828","8469","8469","8469","69.06083679199219","69.06083679199219","69.06083679199219","8469","8469","8469","66.89250183105469","66.89250183105469","66.89250183105469","8469","8469","8469","67.46416473388672","67.46416473388672","67.46416473388672"
"6374","8355.5","8355","8356","69.90708541870117","69.73750305175781","70.07666778564453","8606","8606","8606","69.26249694824219","69.26249694824219","69.26249694824219","8606","8606","8606","68.27916717529297","68.27916717529297","68.27916717529297","8606","8606","8606","68.73583221435547","68.73583221435547","68.73583221435547"
"6499","8552.5","8552","8553","70.52499771118164","70.40249633789062","70.64749908447266","8808","8808","8808","70.399169921875","70.399169921875","70.399169921875","8808","8808","8808","68.19166564941406","68.19166564941406","68.19166564941406","8808","8808","8808","68.81749725341797","68.81749725341797","68.81749725341797"
"6624","8684.5","8684","8685","70.87958145141602","70.79499816894531","70.96416473388672","8945","8945","8945","69.82416534423828","69.82416534423828","69.82416534423828","8945","8945","8945","68.30916595458984","68.30916595458984","68.30916595458984","8945","8945","8945","67.97416687011719","67.97416687011719","67.97416687011719"
"6749","8881.5","8881","8882","70.51583480834961","70.10916900634766","70.92250061035156","9147","9147","9147","70.27999877929688","70.27999877929688","70.27999877929688","9147","9147","9147","67.3933334350586","67.3933334350586","67.3933334350586","9147","9147","9147","68.75916290283203","68.75916290283203","68.75916290283203"
"6874","9013.5","9013","9014","70.74250030517578","70.5441665649414","70.94083404541016","9284","9284","9284","70.54582977294922","70.54582977294922","70.54582977294922","9284","9284","9284","68.48833465576172","68.48833465576172","68.48833465576172","9284","9284","9284","69.40833282470703","69.40833282470703","69.40833282470703"
"6999","9210.5","9210","9211","70.78750228881836","70.34083557128906","71.23416900634766","9486","9486","9486","70.6675033569336","70.6675033569336","70.6675033569336","9486","9486","9486","68.51166534423828","68.51166534423828","68.51166534423828","9486","9486","9486","69.45166778564453","69.45166778564453","69.45166778564453"
"7124","9342.5","9342","9343","71.28708267211914","71.15249633789062","71.42166900634766","9623","9623","9623","70.05416870117188","70.05416870117188","70.05416870117188","9623","9623","9623","69.20249938964844","69.20249938964844","69.20249938964844","9623","9623","9623","69.96499633789062","69.96499633789062","69.96499633789062"
"7249","9539.5","9539","9540","70.61625289916992","70.30750274658203","70.92500305175781","9825","9825","9825","71.40083312988281","71.40083312988281","71.40083312988281","9825","9825","9825","68.2925033569336","68.2925033569336","68.2925033569336","9825","9825","9825","69.71583557128906","69.71583557128906","69.71583557128906"
"7374","9671.5","9671","9672","70.72833251953125","70.18000030517578","71.27666473388672","9962","9962","9962","70.13999938964844","70.13999938964844","70.13999938964844","9962","9962","9962","68.8316650390625","68.8316650390625","68.8316650390625","9962","9962","9962","69.22250366210938","69.22250366210938","69.22250366210938"
"7499","9868.5","9868","9869","70.08833312988281","69.70166778564453","70.4749984741211","10164","10164","10164","69.61166381835938","69.61166381835938","69.61166381835938","10600.5","10164","11037","68.52750015258789","68.33000183105469","68.7249984741211","10164","10164","10164","68.88999938964844","68.88999938964844","68.88999938964844"
"7624","10000.5","10000","10001","70.60375213623047","69.62333679199219","71.58416748046875","10301","10301","10301","71.10749816894531","71.10749816894531","71.10749816894531","10737.5","10301","11174","69.23541641235352","69.00499725341797","69.46583557128906","10436","10301","10571","68.97208404541016","68.74083709716797","69.20333099365234"
"7749","10197.5","10197","10198","70.77958297729492","70.40916442871094","71.1500015258789","10503","10503","10503","69.88833618164062","69.88833618164062","69.88833618164062","11037","10698","11376","68.43958282470703","67.52833557128906","69.350830078125","10773","10773","10773","69.4574966430664","69.4574966430664","69.4574966430664"
"7874","10329.5","10329","10330","70.80708694458008","70.01667022705078","71.59750366210938","10640","10640","10640","69.90583038330078","69.90583038330078","69.90583038330078","11174","10835","11513","69.56208419799805","69.4191665649414","69.70500183105469","10910","10910","10910","69.8116683959961","69.8116683959961","69.8116683959961"
"7999","10526.5","10526","10527","71.39500045776367","70.9375","71.85250091552734","11485.5","10842","12129","69.64916610717773","68.83833312988281","70.42416381835938","11715","11715","11715","69.46083068847656","69.46083068847656","69.46083068847656","11112","11112","11112","69.83416748046875","69.83416748046875","69.83416748046875"
"8124","10658.5","10658","10659","70.65458297729492","70.55416870117188","70.75499725341797","11182","11182","11182","69.80750274658203","69.80750274658203","69.80750274658203","11852","11852","11852","69.15499877929688","69.15499877929688","69.15499877929688","11249","11249","11249","70.31749725341797","70.31749725341797","70.31749725341797"
"8249","10855.5","10855","10856","71.06875228881836","70.99500274658203","71.14250183105469","11384","11384","11384","70.15166473388672","70.15166473388672","70.15166473388672","12054","12054","12054","69.38583374023438","69.38583374023438","69.38583374023438","11451","11451","11451","69.34500122070312","69.34500122070312","69.34500122070312"
"8374","10987.5","10987","10988","70.72375106811523","70.62833404541016","70.81916809082031","11894","11521","12267","70.59125137329102","70.45083618164062","70.7316665649414","12231","12191","12271","69.6854133605957","69.42082977294922","69.94999694824219","11588","11588","11588","70.33833312988281","70.33833312988281","70.33833312988281"
"8386","","","","","","","","","","","","","12201.5","12198","12205","69.62750244140625","69.62750244140625","69.62750244140625","","","","","",""
"8469","","","","","","","","","","","","","","","","","","","11866.5","11863","11870","68.4124984741211","68.4124984741211","68.4124984741211"
"8477","","","","","","","","","","","","","","","","","","","11728.5","11725","11732","70.20166778564453","70.20166778564453","70.20166778564453"
"8499","11184.5","11184","11185","71.12291717529297","70.77666473388672","71.46916961669922","12096","11723","12469","71.26708602905273","70.84416961669922","71.69000244140625","12473","12473","12473","69.55583190917969","69.55583190917969","69.55583190917969","12066","12066","12066","68.875","68.875","68.875"
"8624","11316.5","11316","11317","70.93249893188477","70.71499633789062","71.1500015258789","12606","12606","12606","71.23416900634766","71.23416900634766","71.23416900634766","12610","12610","12610","69.14167022705078","69.14167022705078","69.14167022705078","12203","12203","12203","69.9558334350586","69.9558334350586","69.9558334350586"
"8749","11513.5","11513","11514","71.14083480834961","70.9433364868164","71.33833312988281","12808","12808","12808","70.8558349609375","70.8558349609375","70.8558349609375","12812","12812","12812","69.58999633789062","69.58999633789062","69.58999633789062","12405","12405","12405","70.0433349609375","70.0433349609375","70.0433349609375"
"8874","11645.5","11645","11646","70.95499801635742","70.71499633789062","71.19499969482422","12945","12945","12945","71.32250213623047","71.32250213623047","71.32250213623047","12949","12949","12949","69.71499633789062","69.71499633789062","69.71499633789062","12542","12542","12542","70.08499908447266","70.08499908447266","70.08499908447266"
"8999","11842.5","11842","11843","70.94458389282227","70.63500213623047","71.25416564941406","13147","13147","13147","70.46499633789062","70.46499633789062","70.46499633789062","13151","13151","13151","70.04000091552734","70.04000091552734","70.04000091552734","12744","12744","12744","70.70083618164062","70.70083618164062","70.70083618164062"
