"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/pseudo_perplexity","Group: text10-vision0 - evaluation/pseudo_perplexity__MIN","Group: text10-vision0 - evaluation/pseudo_perplexity__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/pseudo_perplexity","Group: text10-vision1 - evaluation/pseudo_perplexity__MIN","Group: text10-vision1 - evaluation/pseudo_perplexity__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/pseudo_perplexity","Group: text10-vision100 - evaluation/pseudo_perplexity__MIN","Group: text10-vision100 - evaluation/pseudo_perplexity__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/pseudo_perplexity","Group: text10-vision10 - evaluation/pseudo_perplexity__MIN","Group: text10-vision10 - evaluation/pseudo_perplexity__MAX"
"3874","5065.5","5065","5066","13.084389686584473","13.031648635864258","13.137130737304688","5215","5215","5215","14.46867561340332","14.46867561340332","14.46867561340332","5216","5216","5216","22.669910430908203","22.669910430908203","22.669910430908203","5216","5216","5216","20.965160369873047","20.965160369873047","20.965160369873047"
"3999","5262.5","5262","5263","12.647656917572021","12.625752449035645","12.669561386108398","5417","5417","5417","14.062271118164062","14.062271118164062","14.062271118164062","5418","5418","5418","21.896617889404297","21.896617889404297","21.896617889404297","5418","5418","5418","20.424877166748047","20.424877166748047","20.424877166748047"
"4124","5394.5","5394","5395","12.35495376586914","12.321636199951172","12.38827133178711","5554","5554","5554","13.72677230834961","13.72677230834961","13.72677230834961","5555","5555","5555","21.19971466064453","21.19971466064453","21.19971466064453","5555","5555","5555","19.624286651611328","19.624286651611328","19.624286651611328"
"4249","5591.5","5591","5592","12.0404372215271","12.016268730163574","12.064605712890625","5756","5756","5756","13.401464462280273","13.401464462280273","13.401464462280273","5757","5757","5757","20.415973663330078","20.415973663330078","20.415973663330078","5757","5757","5757","19.09579086303711","19.09579086303711","19.09579086303711"
"4374","5723.5","5723","5724","11.691215515136719","11.654682159423828","11.72774887084961","5893","5893","5893","13.153116226196289","13.153116226196289","13.153116226196289","5894","5894","5894","19.817501068115234","19.817501068115234","19.817501068115234","5894","5894","5894","18.691505432128906","18.691505432128906","18.691505432128906"
"4499","5920.5","5920","5921","11.500163078308105","11.482202529907227","11.518123626708984","6095","6095","6095","12.872092247009277","12.872092247009277","12.872092247009277","6096","6096","6096","19.194869995117188","19.194869995117188","19.194869995117188","6096","6096","6096","18.143959045410156","18.143959045410156","18.143959045410156"
"4624","6052.5","6052","6053","11.216302394866943","11.187934875488281","11.244669914245605","6233","6233","6233","14.8362455368042","14.8362455368042","14.8362455368042","6233","6233","6233","18.859359741210938","18.859359741210938","18.859359741210938","6233","6233","6233","17.72504425048828","17.72504425048828","17.72504425048828"
"4749","6249.5","6249","6250","10.990737438201904","10.970734596252441","11.010740280151367","6435","6435","6435","12.503435134887695","12.503435134887695","12.503435134887695","6435","6435","6435","18.44466781616211","18.44466781616211","18.44466781616211","6435","6435","6435","17.29229736328125","17.29229736328125","17.29229736328125"
"4874","6381.5","6381","6382","10.743884563446045","10.72139835357666","10.76637077331543","6572","6572","6572","12.240697860717773","12.240697860717773","12.240697860717773","6572","6572","6572","18.029239654541016","18.029239654541016","18.029239654541016","6572","6572","6572","17.086650848388672","17.086650848388672","17.086650848388672"
"4999","6578.5","6578","6579","10.581056594848633","10.560968399047852","10.601144790649414","6774","6774","6774","11.977530479431152","11.977530479431152","11.977530479431152","6774","6774","6774","17.579877853393555","17.579877853393555","17.579877853393555","6774","6774","6774","16.786636352539062","16.786636352539062","16.786636352539062"
