"Step","Group: text1-vision100 - evaluation/blimp/irregular_forms","Group: text1-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision10 - evaluation/blimp/irregular_forms","Group: text1-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision10 - evaluation/blimp/irregular_forms","Group: text10-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision100 - evaluation/blimp/irregular_forms","Group: text10-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision1 - evaluation/blimp/irregular_forms","Group: text1-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision1 - evaluation/blimp/irregular_forms","Group: text10-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision0 - evaluation/blimp/irregular_forms","Group: text10-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision0 - evaluation/blimp/irregular_forms","Group: text1-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision0 - evaluation/blimp/irregular_forms__MAX"
"2972","","","","","","","81.52999877929688","81.52999877929688","81.52999877929688","","","","","","","","","","","","","","",""
"3047","","","","","","","","","","","","","","","","","","","80.19999694824219","80.19999694824219","80.19999694824219","","",""
"3058","","","","","","","","","","84.83000183105469","84.83000183105469","84.83000183105469","","","","","","","","","","","",""
"3072","75.93000030517578","75.93000030517578","75.93000030517578","76.38999938964844","76.38999938964844","76.38999938964844","","","","","","","","","","","","","","","","","",""
"3080","","","","","","","","","","","","","75.56999969482422","75.56999969482422","75.56999969482422","","","","","","","","",""
"3133","","","","","","","","","","","","","","","","","","","","","","78.22000122070312","78.22000122070312","78.22000122070312"
"3137","","","","","","","","","","","","","","","","79.08000183105469","79.08000183105469","79.08000183105469","","","","","",""
"3151","","","","","","","80.76000213623047","80.76000213623047","80.76000213623047","","","","","","","","","","","","","","",""
"3221","","","","","","","","","","","","","","","","","","","81.7300033569336","81.7300033569336","81.7300033569336","","",""
"3223","75.83000183105469","75.83000183105469","75.83000183105469","78.16999816894531","78.16999816894531","78.16999816894531","","","","","","","","","","","","","","","","","",""
"3237","","","","","","","","","","80.19999694824219","80.19999694824219","80.19999694824219","","","","","","","","","","","",""
"3259","","","","","","","","","","","","","75.7300033569336","75.7300033569336","75.7300033569336","","","","","","","","",""
"3307","","","","","","","","","","","","","","","","","","","","","","79.8499984741211","79.8499984741211","79.8499984741211"
"3316","","","","","","","","","","","","","","","","75.9800033569336","75.9800033569336","75.9800033569336","","","","","",""
"3330","","","","","","","81.2699966430664","81.2699966430664","81.2699966430664","","","","","","","","","","","","","","",""
"3395","","","","","","","","","","","","","","","","","","","77.51000213623047","77.51000213623047","77.51000213623047","","",""
"3410","75.47000122070312","75.47000122070312","75.47000122070312","78.12000274658203","78.12000274658203","78.12000274658203","","","","","","","","","","","","","","","","","",""
"3416","","","","","","","","","","79.8499984741211","79.8499984741211","79.8499984741211","","","","","","","","","","","",""
"3438","","","","","","","","","","","","","76.69000244140625","76.69000244140625","76.69000244140625","","","","","","","","",""
"3481","","","","","","","","","","","","","","","","","","","","","","79.44000244140625","79.44000244140625","79.44000244140625"
"3495","","","","","","","","","","","","","","","","77.4000015258789","77.4000015258789","77.4000015258789","","","","","",""
"3509","","","","","","","83.72000122070312","83.72000122070312","83.72000122070312","","","","","","","","","","","","","","",""
