"Step","Group: text10-vision10 - evaluation/blimp/npi_licensing","Group: text10-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision100 - evaluation/blimp/npi_licensing","Group: text10-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision100 - evaluation/blimp/npi_licensing","Group: text1-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision10 - evaluation/blimp/npi_licensing","Group: text1-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision1 - evaluation/blimp/npi_licensing","Group: text1-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision1 - evaluation/blimp/npi_licensing","Group: text10-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision0 - evaluation/blimp/npi_licensing","Group: text10-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision0 - evaluation/blimp/npi_licensing","Group: text1-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision0 - evaluation/blimp/npi_licensing__MAX"
"2396","","","","","","","53.45000076293945","53.45000076293945","53.45000076293945","52.91999816894531","52.91999816894531","52.91999816894531","","","","","","","","","","","",""
"2402","57.22999954223633","57.22999954223633","57.22999954223633","53.36000061035156","53.36000061035156","53.36000061035156","","","","","","","","","","","","","","","","","",""
"2437","","","","","","","","","","","","","","","","","","","54.75","54.75","54.75","","",""
"2450","","","","","","","","","","","","","59.029998779296875","59.029998779296875","59.029998779296875","","","","","","","","",""
"2480","","","","","","","","","","","","","","","","","","","","","","56.529998779296875","56.529998779296875","56.529998779296875"
"2507","","","","","","","","","","","","","","","","58.04999923706055","58.04999923706055","58.04999923706055","","","","","",""
"2543","","","","","","","","","","","","","58.09000015258789","58.09000015258789","58.09000015258789","","","","","","","","",""
"2547","","","","","","","54.900001525878906","54.900001525878906","54.900001525878906","54.02000045776367","54.02000045776367","54.02000045776367","","","","","","","","","","","",""
"2574","58.060001373291016","58.060001373291016","58.060001373291016","53.38999938964844","53.38999938964844","53.38999938964844","","","","","","","","","","","","","","","","","",""
"2611","","","","","","","","","","","","","","","","","","","56.099998474121094","56.099998474121094","56.099998474121094","54.34000015258789","54.34000015258789","54.34000015258789"
"2614","57.939998626708984","57.939998626708984","57.939998626708984","","","","","","","","","","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","54.869998931884766","54.869998931884766","54.869998931884766","","","","","",""
"2700","","","","50.59000015258789","50.59000015258789","50.59000015258789","","","","","","","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","56.150001525878906","56.150001525878906","56.150001525878906","","","","","","","","",""
"2734","","","","","","","51.119998931884766","51.119998931884766","51.119998931884766","52.95000076293945","52.95000076293945","52.95000076293945","","","","","","","","","","","",""
"2785","","","","","","","","","","","","","","","","","","","55.77000045776367","55.77000045776367","55.77000045776367","53.310001373291016","53.310001373291016","53.310001373291016"
"2793","57.68000030517578","57.68000030517578","57.68000030517578","","","","","","","","","","","","","","","","","","","","",""
