"Step","Group: text10-vision100 - evaluation/blimp/island_effects","Group: text10-vision100 - evaluation/blimp/island_effects__MIN","Group: text10-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision100 - evaluation/blimp/island_effects","Group: text1-vision100 - evaluation/blimp/island_effects__MIN","Group: text1-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision10 - evaluation/blimp/island_effects","Group: text1-vision10 - evaluation/blimp/island_effects__MIN","Group: text1-vision10 - evaluation/blimp/island_effects__MAX","Group: text10-vision10 - evaluation/blimp/island_effects","Group: text10-vision10 - evaluation/blimp/island_effects__MIN","Group: text10-vision10 - evaluation/blimp/island_effects__MAX","Group: text1-vision1 - evaluation/blimp/island_effects","Group: text1-vision1 - evaluation/blimp/island_effects__MIN","Group: text1-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision1 - evaluation/blimp/island_effects","Group: text10-vision1 - evaluation/blimp/island_effects__MIN","Group: text10-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision0 - evaluation/blimp/island_effects","Group: text10-vision0 - evaluation/blimp/island_effects__MIN","Group: text10-vision0 - evaluation/blimp/island_effects__MAX","Group: text1-vision0 - evaluation/blimp/island_effects","Group: text1-vision0 - evaluation/blimp/island_effects__MIN","Group: text1-vision0 - evaluation/blimp/island_effects__MAX"
"4139","","","","","","","","","","42.22999954223633","42.22999954223633","42.22999954223633","","","","","","","","","","","",""
"4179","","","","","","","","","","","","","","","","","","","39.310001373291016","39.310001373291016","39.310001373291016","","",""
"4211","","","","","","","","","","","","","","","","41.369998931884766","41.369998931884766","41.369998931884766","","","","","",""
"4225","42.2599983215332","42.2599983215332","42.2599983215332","","","","","","","","","","","","","","","","","","","","",""
"4247","","","","","","","","","","","","","38.86000061035156","38.86000061035156","38.86000061035156","","","","","","","","",""
"4273","","","","41.369998931884766","41.369998931884766","41.369998931884766","40.9900016784668","40.9900016784668","40.9900016784668","","","","","","","","","","","","","","",""
"4304","","","","","","","","","","","","","","","","43.7599983215332","43.7599983215332","43.7599983215332","","","","","",""
"4308","","","","","","","","","","","","","","","","","","","","","","45.13999938964844","45.13999938964844","45.13999938964844"
"4318","","","","","","","","","","42.900001525878906","42.900001525878906","42.900001525878906","","","","","","","","","","","",""
"4353","","","","","","","","","","","","","","","","","","","38.22999954223633","38.22999954223633","38.22999954223633","","",""
"4404","41.52000045776367","41.52000045776367","41.52000045776367","","","","","","","","","","","","","","","","","","","","",""
"4424","","","","41.779998779296875","41.779998779296875","41.779998779296875","37.66999816894531","37.66999816894531","37.66999816894531","","","","","","","","","","","","","","",""
"4426","","","","","","","","","","","","","40.31999969482422","40.31999969482422","40.31999969482422","","","","","","","","",""
"4439","","","","","","","","","","","","","","","","","","","","","","46.560001373291016","46.560001373291016","46.560001373291016"
"4483","","","","","","","","","","","","","","","","44.689998626708984","44.689998626708984","44.689998626708984","","","","","",""
"4497","","","","","","","","","","42.34000015258789","42.34000015258789","42.34000015258789","","","","","","","","","","","",""
"4527","","","","","","","","","","","","","","","","","","","36.5099983215332","36.5099983215332","36.5099983215332","","",""
"4583","37.779998779296875","37.779998779296875","37.779998779296875","","","","","","","","","","","","","","","","","","","","",""
"4605","","","","","","","","","","","","","38.4900016784668","38.4900016784668","38.4900016784668","","","","","","","","",""
"4611","","","","39.90999984741211","39.90999984741211","39.90999984741211","38.68000030517578","38.68000030517578","38.68000030517578","","","","","","","","","","","","","","",""
"4613","","","","","","","","","","","","","","","","","","","","","","45.59000015258789","45.59000015258789","45.59000015258789"
"4662","","","","","","","","","","","","","","","","44.880001068115234","44.880001068115234","44.880001068115234","","","","","",""
"4676","","","","","","","","","","41.66999816894531","41.66999816894531","41.66999816894531","","","","","","","","","","","",""
"4701","","","","","","","","","","","","","","","","","","","39.869998931884766","39.869998931884766","39.869998931884766","","",""
"4762","42.2599983215332","42.2599983215332","42.2599983215332","","","","","","","","","","","","","","","","","","","","",""
"4784","","","","","","","","","","","","","41.66999816894531","41.66999816894531","41.66999816894531","","","","","","","","",""
"4787","","","","","","","","","","","","","","","","","","","","","","41.54999923706055","41.54999923706055","41.54999923706055"
"4798","","","","40.810001373291016","40.810001373291016","40.810001373291016","37.06999969482422","37.06999969482422","37.06999969482422","","","","","","","","","","","","","","",""
